max,23510,14596,584,6403,12589,5252
min,-12224,-7626,-32768,-12333,-9486,-8344
average,987.2948541,-35.42640155,-4656.211544,221.3801896,-13.50998803,-425.6778975
sd,2541.264287,972.1984748,1465.639987,1373.935034,4251.327744,1563.836989
10/10/2017 12:00:01,507,-53,-4253,96,416,46
10/10/2017 12:00:02,486,-47,-4225,99,408,20
10/10/2017 12:00:03,502,-42,-4237,99,393,-3
10/10/2017 12:00:04,501,-68,-4146,111,365,-18
10/10/2017 12:00:05,505,-39,-4168,111,319,-41
10/10/2017 12:00:06,524,-34,-4126,104,261,-54
10/10/2017 12:00:07,573,-19,-4102,98,188,-67
10/10/2017 12:00:08,594,7,-4112,89,101,-71
10/10/2017 12:00:09,585,60,-4128,80,12,-66
10/10/2017 12:00:10,509,95,-4235,-4278,-3829,-321
10/10/2017 12:00:11,535,119,-4333,-1367,258,-393
10/10/2017 12:00:12,526,74,-4346,72,80,-119
10/10/2017 12:00:13,536,63,-4323,70,177,78
10/10/2017 12:00:14,549,67,-4368,85,234,85
10/10/2017 12:00:15,557,52,-4348,96,302,97
10/10/2017 12:00:16,541,1,-4323,90,356,100
10/10/2017 12:00:17,535,-22,-4281,89,385,91
10/10/2017 12:00:18,512,-64,-4270,95,403,69
10/10/2017 12:00:19,656,70,-4087,64,-61,-55
10/10/2017 12:00:20,743,107,-4179,52,-121,-40
10/10/2017 12:00:21,796,90,-4215,43,-161,-28
10/10/2017 12:00:22,820,105,-4232,35,-175,-23
10/10/2017 12:00:23,749,81,-4300,27,-164,-17
10/10/2017 12:00:24,676,43,-4320,21,-140,-11
10/10/2017 12:00:25,610,-17,-4352,22,-89,-11
10/10/2017 12:00:26,564,-29,-4336,26,-29,-29
10/10/2017 12:00:27,517,-21,-4338,31,28,-35
10/10/2017 12:00:28,480,-8,-4279,40,69,-31
10/10/2017 12:00:29,457,0,-4262,45,91,-11
10/10/2017 12:00:30,435,-7,-4229,36,92,26
10/10/2017 12:00:31,463,-16,-4217,36,69,64
10/10/2017 12:00:32,443,10,-4182,29,39,100
10/10/2017 12:00:33,487,10,-4196,18,0,139
10/10/2017 12:00:34,622,7,-4186,13,-43,172
10/10/2017 12:00:35,768,-11,-4235,14,-69,159
10/10/2017 12:00:36,875,11,-4274,25,-66,96
10/10/2017 12:00:37,894,40,-4270,36,-47,16
10/10/2017 12:00:38,833,53,-4249,44,-18,-42
10/10/2017 12:00:39,678,44,-4239,42,1,-78
10/10/2017 12:00:40,593,69,-4214,42,3,-76
10/10/2017 12:00:41,606,26,-4251,41,-7,-60
10/10/2017 12:00:42,614,39,-4230,42,-31,-46
10/10/2017 12:00:43,630,17,-4243,42,-42,-34
10/10/2017 12:00:44,599,28,-4244,39,-38,-23
10/10/2017 12:00:45,585,48,-4279,38,-31,-15
10/10/2017 12:00:46,588,57,-4288,36,-12,7
10/10/2017 12:00:47,574,72,-4274,35,10,36
10/10/2017 12:00:48,544,70,-4248,26,24,73
10/10/2017 12:00:49,545,56,-4254,14,24,103
10/10/2017 12:00:50,573,40,-4217,5,6,128
10/10/2017 12:00:51,576,19,-4195,-2,-23,146
10/10/2017 12:00:52,629,4,-4219,-8,-52,154
10/10/2017 12:00:53,620,19,-4231,-7,-79,153
10/10/2017 12:00:54,650,-17,-4245,-9,-95,143
10/10/2017 12:00:55,625,-17,-4229,-9,-101,125
10/10/2017 12:00:56,606,-24,-4274,-7,-102,99
10/10/2017 12:00:57,608,-21,-4254,-5,-94,73
10/10/2017 12:00:58,615,-29,-4261,0,-90,50
10/10/2017 12:00:59,612,7,-4280,7,-79,27
10/10/2017 12:01:00,589,4,-4251,9,-72,13
10/10/2017 12:01:01,596,9,-4254,12,-66,5
10/10/2017 12:01:02,586,6,-4288,13,-61,6
10/10/2017 12:01:03,576,16,-4289,15,-56,-2
10/10/2017 12:01:04,572,16,-4272,22,-39,-3
10/10/2017 12:01:05,583,16,-4310,25,-19,-3
10/10/2017 12:01:06,589,23,-4273,30,-1,-2
10/10/2017 12:01:07,591,23,-4285,30,17,5
10/10/2017 12:01:08,579,23,-4256,33,27,6
10/10/2017 12:01:09,586,23,-4232,30,21,7
10/10/2017 12:01:10,576,-2,-4213,32,9,2
10/10/2017 12:01:11,574,45,-4204,34,-13,-7
10/10/2017 12:01:12,584,16,-4214,34,-34,-10
10/10/2017 12:01:13,573,33,-4208,32,-54,-17
10/10/2017 12:01:14,591,12,-4257,30,-71,-17
10/10/2017 12:01:15,553,9,-4274,32,-84,-18
10/10/2017 12:01:16,570,29,-4271,27,-86,-15
10/10/2017 12:01:17,561,22,-4239,29,-81,-9
10/10/2017 12:01:18,563,28,-4258,31,-66,-7
10/10/2017 12:01:19,577,25,-4275,31,-56,-6
10/10/2017 12:01:20,557,22,-4237,30,-45,-10
10/10/2017 12:01:21,574,22,-4230,26,-44,-17
10/10/2017 12:01:22,556,18,-4253,27,-49,-23
10/10/2017 12:01:23,550,18,-4203,25,-56,-24
10/10/2017 12:01:24,567,25,-4248,25,-60,-23
10/10/2017 12:01:25,563,43,-4241,27,-66,-21
10/10/2017 12:01:26,559,-4,-4244,28,-66,-16
10/10/2017 12:01:27,566,36,-4286,28,-61,-10
10/10/2017 12:01:28,549,37,-4237,27,-57,-5
10/10/2017 12:01:29,552,6,-4224,24,-51,-6
10/10/2017 12:01:30,570,33,-4254,25,-54,-5
10/10/2017 12:01:31,558,30,-4260,31,-52,1
10/10/2017 12:01:32,539,16,-4230,28,-52,5
10/10/2017 12:01:33,542,20,-4246,28,-54,0
10/10/2017 12:01:34,566,16,-4245,25,-59,-1
10/10/2017 12:01:35,555,26,-4218,23,-63,-3
10/10/2017 12:01:36,543,8,-4234,18,-73,-3
10/10/2017 12:01:37,541,-5,-4219,17,-80,-1
10/10/2017 12:01:38,551,7,-4236,14,-93,-3
10/10/2017 12:01:39,523,13,-4232,17,-98,-5
10/10/2017 12:01:40,534,17,-4260,12,-103,-4
10/10/2017 12:01:40,522,21,-4271,5,-97,-7
10/10/2017 12:01:41,533,3,-4247,-1,-89,-9
10/10/2017 12:01:42,525,13,-4286,4,-94,-14
